id,created_at,text,retweet_count,favorite_count
1045396295249055744,2018-09-27 19:34:33,"pharcyde other fish 🐠 playing at SNL

My love recites the lyrics to Passing me By. This is why I know this is my soul mate",739,7585
1045376100388372480,2018-09-27 18:14:19,YZY SZN https://t.co/P0s3S41miG,3274,31904
1045330973842264065,2018-09-27 15:15:00,https://t.co/S4X43suh9C,1155,15458
1045326579730006016,2018-09-27 14:57:32,"we’re releasing Yandhi Saturday night 

We know it will come in number 2 to my brother Lil Wayne and that’s lovely… https://t.co/5L5rRqdT7t",75388,268519
1045315568725766144,2018-09-27 14:13:47,"The term literally means ""place of the Way &lt;https://t.co/M1T31yUQax&gt;"" in Japanese

Schools will be dojos",519,4887
1045315452753199104,2018-09-27 14:13:19,"Dojo
A dōjō (道場 &lt;https://t.co/BMDKrR5vzG&gt;) is a hall or space for immersive learning or meditation. This is traditi… https://t.co/Y89keTfn2t",650,4783
1045315400613806080,2018-09-27 14:13:07,"Words and names are vital when bringing something like the school into existence.  Couple thoughts:  Dao
The word f… https://t.co/wjoNdjuAto",800,7592
1045150150329491456,2018-09-27 03:16:28,over 300 samples and 3 years in the making and I give my pair to Ant Clemons for his Bday https://t.co/wC7Ox5gs0P,762,9459
1045146599712677888,2018-09-27 03:02:21,Jedi training camp. We need a light saber emoji  I guess this crayon will have to do 🖍😭 https://t.co/rnKSYk3yaz,3272,20564
1045146325002506240,2018-09-27 03:01:16,ALPHA BEING SNL VIBES https://t.co/SCcYxHTBuR,722,7366
1045146174607351808,2018-09-27 03:00:40,https://t.co/SSyk7GNc8G,1613,11981
1045102501404409856,2018-09-27 00:07:08,Bari I appreciate your perspective and vision. You brought me closer to Rocky too. Jedis never let perception and c… https://t.co/4rnuw2U9II,1171,9822
1045102473734578176,2018-09-27 00:07:01,Bari challenged me when no one else did and when he got in trouble I was scared to say he was my friend just like I… https://t.co/olEPkPay0r,4024,31913
1045102436963168256,2018-09-27 00:06:52,🙌🙌🙌💜💜💜 there’s no way I would have the number 1 record in the world without this man here.  He broke me out of my p… https://t.co/VIFhd1f8yi,1217,13773
